YearQuarter,Race_Ethnic,EDUC_LTD,Child_Status,Unemp,in_LF,WTFINL
2015Q1,"White, Non-Hispanic",College +,Older Children,0,0,3024216.6572
2015Q1,"White, Non-Hispanic",College +,Older Children,0,1,15359677.543
2015Q1,"White, Non-Hispanic",College +,Older Children,1,1,302839.8822
2015Q1,"White, Non-Hispanic",College +,Child < 5,0,0,2501075.0278
2015Q1,"White, Non-Hispanic",College +,Child < 5,0,1,7352668.3961
2015Q1,"White, Non-Hispanic",College +,Child < 5,1,1,117005.1398
2015Q1,All Other,< HS,No Children,0,0,159446.942
2015Q1,All Other,< HS,No Children,0,1,134096.975
2015Q1,All Other,< HS,No Children,1,1,7714.8956
2015Q1,All Other,< HS,Older Children,0,0,241049.1256
2015Q1,All Other,< HS,Older Children,0,1,324970.6431
2015Q1,All Other,< HS,Older Children,1,1,31235.9579
2015Q1,All Other,< HS,Child < 5,0,0,131129.1665
2015Q1,All Other,< HS,Child < 5,0,1,73002.1754
2015Q1,All Other,< HS,Child < 5,1,1,6275.6969
2015Q1,All Other,High School Diploma,No Children,0,0,407251.813
2015Q1,All Other,High School Diploma,No Children,0,1,662535.708
2015Q1,All Other,High School Diploma,No Children,1,1,35261.0334
2015Q1,All Other,High School Diploma,Older Children,0,0,488201.3579
2015Q1,All Other,High School Diploma,Older Children,0,1,1051625.8282
2015Q1,All Other,High School Diploma,Older Children,1,1,54269.6403
2015Q1,All Other,High School Diploma,Child < 5,0,0,353286.6003
2015Q1,All Other,High School Diploma,Child < 5,0,1,295393.0623
2015Q1,All Other,High School Diploma,Child < 5,1,1,33179.677
2015Q1,All Other,Some College,No Children,0,0,411957.8657
2015Q1,All Other,Some College,No Children,0,1,1071491.1062
2015Q1,All Other,Some College,No Children,1,1,40585.0254
2015Q1,All Other,Some College,Older Children,0,0,441830.9022
2015Q1,All Other,Some College,Older Children,0,1,1187111.261
2015Q1,All Other,Some College,Older Children,1,1,52585.8889
2015Q1,All Other,Some College,Child < 5,0,0,292805.2907
2015Q1,All Other,Some College,Child < 5,0,1,473422.5458
2015Q1,All Other,Some College,Child < 5,1,1,35980.5862
2015Q1,All Other,College +,No Children,0,0,800770.5317
2015Q1,All Other,College +,No Children,0,1,2901339.9086
2015Q1,All Other,College +,No Children,1,1,100200.902
2015Q1,All Other,College +,Older Children,0,0,943867.0301
2015Q1,All Other,College +,Older Children,0,1,2453859.3433
2015Q1,All Other,College +,Older Children,1,1,74488.401
2015Q1,All Other,College +,Child < 5,0,0,676651.7384
2015Q1,All Other,College +,Child < 5,0,1,1199166.6784
2015Q1,All Other,College +,Child < 5,1,1,32840.5311
2015Q2,"Black, Non-Hispanic",< HS,No Children,0,0,493882.57
2015Q2,"Black, Non-Hispanic",< HS,No Children,0,1,246417.7203
2015Q2,"Black, Non-Hispanic",< HS,No Children,1,1,70340.3603
2015Q2,"Black, Non-Hispanic",< HS,Older Children,0,0,368083.5995
2015Q2,"Black, Non-Hispanic",< HS,Older Children,0,1,453013.2257
2015Q2,"Black, Non-Hispanic",< HS,Older Children,1,1,133048.999
2015Q2,"Black, Non-Hispanic",< HS,Child < 5,0,0,143861.3409
2015Q2,"Black, Non-Hispanic",< HS,Child < 5,0,1,141060.1811
2015Q2,"Black, Non-Hispanic",< HS,Child < 5,1,1,40528.233
2015Q2,"Black, Non-Hispanic",High School Diploma,No Children,0,0,911196.3867
2015Q2,"Black, Non-Hispanic",High School Diploma,No Children,0,1,1887692.5995
2015Q2,"Black, Non-Hispanic",High School Diploma,No Children,1,1,222202.4005
2015Q2,"Black, Non-Hispanic",High School Diploma,Older Children,0,0,842756.0886
2015Q2,"Black, Non-Hispanic",High School Diploma,Older Children,0,1,2301693.6093
2015Q2,"Black, Non-Hispanic",High School Diploma,Older Children,1,1,260288.6021
2015Q2,"Black, Non-Hispanic",High School Diploma,Child < 5,0,0,286890.7433
2015Q2,"Black, Non-Hispanic",High School Diploma,Child < 5,0,1,673439.3079
2015Q2,"Black, Non-Hispanic",High School Diploma,Child < 5,1,1,109639.8588
2015Q2,"Black, Non-Hispanic",Some College,No Children,0,0,709907.06
2015Q2,"Black, Non-Hispanic",Some College,No Children,0,1,2185829.3032
2015Q2,"Black, Non-Hispanic",Some College,No Children,1,1,153464.8575
2015Q2,"Black, Non-Hispanic",Some College,Older Children,0,0,657689.0007
2015Q2,"Black, Non-Hispanic",Some College,Older Children,0,1,3269959.9481
2015Q2,"Black, Non-Hispanic",Some College,Older Children,1,1,200396.9071
2015Q2,"Black, Non-Hispanic",Some College,Child < 5,0,0,315867.5001
2015Q2,"Black, Non-Hispanic",Some College,Child < 5,0,1,1128114.7069
2015Q2,"Black, Non-Hispanic",Some College,Child < 5,1,1,101444.4062
2015Q2,"Black, Non-Hispanic",College +,No Children,0,0,486941.4899
2015Q2,"Black, Non-Hispanic",College +,No Children,0,1,2696881.4719
2015Q2,"Black, Non-Hispanic",College +,No Children,1,1,80876.7867
2015Q2,"Black, Non-Hispanic",College +,Older Children,0,0,422817.5482
2015Q2,"Black, Non-Hispanic",College +,Older Children,0,1,2295156.4124
2015Q2,"Black, Non-Hispanic",College +,Older Children,1,1,74655.2572
2015Q2,"Black, Non-Hispanic",College +,Child < 5,0,0,203562.8
2015Q2,"Black, Non-Hispanic",College +,Child < 5,0,1,812830.0377
2015Q2,"Black, Non-Hispanic",College +,Child < 5,1,1,28186.6628
2015Q2,Hispanic,< HS,No Children,0,0,787349.6865
2015Q2,Hispanic,< HS,No Children,0,1,875200.5215
2015Q2,Hispanic,< HS,No Children,1,1,107889.9623
2015Q2,Hispanic,< HS,Older Children,0,0,2511119.4583
2015Q2,Hispanic,< HS,Older Children,0,1,2920521.3833
2015Q2,Hispanic,< HS,Older Children,1,1,250059.7019
2015Q2,Hispanic,< HS,Child < 5,0,0,1414416.5142
2015Q2,Hispanic,< HS,Child < 5,0,1,825986.2365
2015Q2,Hispanic,< HS,Child < 5,1,1,128606.067
2015Q2,Hispanic,High School Diploma,No Children,0,0,744309.7449
2015Q2,Hispanic,High School Diploma,No Children,0,1,1736769.1988
2015Q2,Hispanic,High School Diploma,No Children,1,1,116638.4218
2015Q2,Hispanic,High School Diploma,Older Children,0,0,1638901.7646
2015Q2,Hispanic,High School Diploma,Older Children,0,1,3225073.346
2015Q2,Hispanic,High School Diploma,Older Children,1,1,215191.5221
2015Q2,Hispanic,High School Diploma,Child < 5,0,0,994688.0161
2015Q2,Hispanic,High School Diploma,Child < 5,0,1,850409.8558
2015Q2,Hispanic,High School Diploma,Child < 5,1,1,124659.0611
2015Q2,Hispanic,Some College,No Children,0,0,503063.1827
2015Q2,Hispanic,Some College,No Children,0,1,1832548.0547
2015Q2,Hispanic,Some College,No Children,1,1,85085.5413
2015Q2,Hispanic,Some College,Older Children,0,0,838028.2157
2015Q2,Hispanic,Some College,Older Children,0,1,3164458.6637
2015Q2,Hispanic,Some College,Older Children,1,1,170135.053
2015Q2,Hispanic,Some College,Child < 5,0,0,677897.1759
2015Q2,Hispanic,Some College,Child < 5,0,1,1110299.5507
2015Q2,Hispanic,Some College,Child < 5,1,1,89078.4183
2015Q2,Hispanic,College +,No Children,0,0,328819.7995
2015Q2,Hispanic,College +,No Children,0,1,2122357.4711
2015Q2,Hispanic,College +,No Children,1,1,71080.8753
2015Q2,Hispanic,College +,Older Children,0,0,522772.4615
2015Q2,Hispanic,College +,Older Children,0,1,1974053.8662
2015Q2,Hispanic,College +,Older Children,1,1,63053.7132
2015Q2,Hispanic,College +,Child < 5,0,0,341708.6845
2015Q2,Hispanic,College +,Child < 5,0,1,855482.9023
2015Q2,Hispanic,College +,Child < 5,1,1,17864.9041
2015Q2,"White, Non-Hispanic",< HS,No Children,0,0,1353619.9287
2015Q2,"White, Non-Hispanic",< HS,No Children,0,1,827100.0121
2015Q2,"White, Non-Hispanic",< HS,No Children,1,1,100857.8294
2015Q2,"White, Non-Hispanic",< HS,Older Children,0,0,1229275.3583
2015Q2,"White, Non-Hispanic",< HS,Older Children,0,1,961126.2878
2015Q2,"White, Non-Hispanic",< HS,Older Children,1,1,95227.4549
2015Q2,"White, Non-Hispanic",< HS,Child < 5,0,0,496783.8905
2015Q2,"White, Non-Hispanic",< HS,Child < 5,0,1,277964.6742
2015Q2,"White, Non-Hispanic",< HS,Child < 5,1,1,38215.5695
2015Q2,"White, Non-Hispanic",High School Diploma,No Children,0,0,3591003.0628
2015Q2,"White, Non-Hispanic",High School Diploma,No Children,0,1,6803386.1564
2015Q2,"White, Non-Hispanic",High School Diploma,No Children,1,1,394948.1491
2015Q2,"White, Non-Hispanic",High School Diploma,Older Children,0,0,3297201.7839
2015Q2,"White, Non-Hispanic",High School Diploma,Older Children,0,1,7905922.066
2015Q2,"White, Non-Hispanic",High School Diploma,Older Children,1,1,329576.6162
2015Q2,"White, Non-Hispanic",High School Diploma,Child < 5,0,0,1413327.6432
2015Q2,"White, Non-Hispanic",High School Diploma,Child < 5,0,1,1740482.6658
2015Q2,"White, Non-Hispanic",High School Diploma,Child < 5,1,1,103404.9649
2015Q2,"White, Non-Hispanic",Some College,No Children,0,0,2875041.4366
2015Q2,"White, Non-Hispanic",Some College,No Children,0,1,9767390.754
2015Q2,"White, Non-Hispanic",Some College,No Children,1,1,394669.9399
2015Q2,"White, Non-Hispanic",Some College,Older Children,0,0,3308664.5637
2015Q2,"White, Non-Hispanic",Some College,Older Children,0,1,11595026.505
2015Q2,"White, Non-Hispanic",Some College,Older Children,1,1,415883.9537
2015Q2,"White, Non-Hispanic",Some College,Child < 5,0,0,1851395.8881
2015Q2,"White, Non-Hispanic",Some College,Child < 5,0,1,3605637.5471
2015Q2,"White, Non-Hispanic",Some College,Child < 5,1,1,177324.1778
2015Q2,"White, Non-Hispanic",College +,No Children,0,0,2217032.6532
2015Q2,"White, Non-Hispanic",College +,No Children,0,1,17628440.47
2015Q2,"White, Non-Hispanic",College +,No Children,1,1,513149.6265
2015Q2,"White, Non-Hispanic",College +,Older Children,0,0,3063342.6503
2015Q2,"White, Non-Hispanic",College +,Older Children,0,1,15157638.236
2015Q2,"White, Non-Hispanic",College +,Older Children,1,1,285682.7134
2015Q2,"White, Non-Hispanic",College +,Child < 5,0,0,2494941.2117
2015Q2,"White, Non-Hispanic",College +,Child < 5,0,1,7297207.688
2015Q2,"White, Non-Hispanic",College +,Child < 5,1,1,165951.4626
2015Q2,All Other,< HS,No Children,0,0,133528.7658
2015Q2,All Other,< HS,No Children,0,1,146753.598
2015Q2,All Other,< HS,No Children,1,1,24268.5203
2015Q2,All Other,< HS,Older Children,0,0,247696.4296
2015Q2,All Other,< HS,Older Children,0,1,379364.5025
2015Q2,All Other,< HS,Older Children,1,1,29812.0108
2015Q2,All Other,< HS,Child < 5,0,0,167163.5444
2015Q2,All Other,< HS,Child < 5,0,1,78842.4602
2015Q2,All Other,< HS,Child < 5,1,1,7022.6112
2015Q2,All Other,High School Diploma,No Children,0,0,320383.8843
2015Q2,All Other,High School Diploma,No Children,0,1,614845.7449
2015Q2,All Other,High School Diploma,No Children,1,1,40136.4974
2015Q2,All Other,High School Diploma,Older Children,0,0,610926.612
2015Q2,All Other,High School Diploma,Older Children,0,1,1057239.8837
2015Q2,All Other,High School Diploma,Older Children,1,1,31117.3047
2015Q2,All Other,High School Diploma,Child < 5,0,0,316529.0672
2015Q2,All Other,High School Diploma,Child < 5,0,1,312762.9831
2015Q2,All Other,High School Diploma,Child < 5,1,1,17199.0806
2015Q2,All Other,Some College,No Children,0,0,335536.6021
2015Q2,All Other,Some College,No Children,0,1,927700.1612
2015Q2,All Other,Some College,No Children,1,1,57823.6098
2015Q2,All Other,Some College,Older Children,0,0,477796.1422
2015Q2,All Other,Some College,Older Children,0,1,1063397.484
2015Q2,All Other,Some College,Older Children,1,1,55986.4307
2015Q2,All Other,Some College,Child < 5,0,0,280816.2585
2015Q2,All Other,Some College,Child < 5,0,1,516288.5102
2015Q2,All Other,Some College,Child < 5,1,1,40654.9354
2015Q2,All Other,College +,No Children,0,0,816944.1839
2015Q2,All Other,College +,No Children,0,1,2935580.6069
2015Q2,All Other,College +,No Children,1,1,101538.3181
2015Q2,All Other,College +,Older Children,0,0,964783.5616
2015Q2,All Other,College +,Older Children,0,1,2387852.2895
2015Q2,All Other,College +,Older Children,1,1,62200.2346
2015Q2,All Other,College +,Child < 5,0,0,849433.8702
2015Q2,All Other,College +,Child < 5,0,1,1126207.804
2015Q2,All Other,College +,Child < 5,1,1,27151.9311
2015Q3,"Black, Non-Hispanic",< HS,No Children,0,0,505185.8706
2015Q3,"Black, Non-Hispanic",< HS,No Children,0,1,319206.5395
2015Q3,"Black, Non-Hispanic",< HS,No Children,1,1,81167.4966
2015Q3,"Black, Non-Hispanic",< HS,Older Children,0,0,361617.9767
2015Q3,"Black, Non-Hispanic",< HS,Older Children,0,1,410946.6769
2015Q3,"Black, Non-Hispanic",< HS,Older Children,1,1,118246.5021
2015Q3,"Black, Non-Hispanic",< HS,Child < 5,0,0,117159.9083
2015Q3,"Black, Non-Hispanic",< HS,Child < 5,0,1,158492.8726
2015Q3,"Black, Non-Hispanic",< HS,Child < 5,1,1,46572.1695
2015Q3,"Black, Non-Hispanic",High School Diploma,No Children,0,0,993592.7983
2015Q3,"Black, Non-Hispanic",High School Diploma,No Children,0,1,1645021.3983
2015Q3,"Black, Non-Hispanic",High School Diploma,No Children,1,1,226485.5585
2015Q3,"Black, Non-Hispanic",High School Diploma,Older Children,0,0,813540.5495
2015Q3,"Black, Non-Hispanic",High School Diploma,Older Children,0,1,2236995.7023
2015Q3,"Black, Non-Hispanic",High School Diploma,Older Children,1,1,272960.1306
2015Q3,"Black, Non-Hispanic",High School Diploma,Child < 5,0,0,327813.7598
2015Q3,"Black, Non-Hispanic",High School Diploma,Child < 5,0,1,677481.2196
2015Q3,"Black, Non-Hispanic",High School Diploma,Child < 5,1,1,93174.2019
2015Q3,"Black, Non-Hispanic",Some College,No Children,0,0,691905.2608
2015Q3,"Black, Non-Hispanic",Some College,No Children,0,1,2488765.0732
2015Q3,"Black, Non-Hispanic",Some College,No Children,1,1,169558.9038
2015Q3,"Black, Non-Hispanic",Some College,Older Children,0,0,749208.5539
2015Q3,"Black, Non-Hispanic",Some College,Older Children,0,1,3169653.6086
2015Q3,"Black, Non-Hispanic",Some College,Older Children,1,1,152029.5297
2015Q3,"Black, Non-Hispanic",Some College,Child < 5,0,0,329831.8756
2015Q3,"Black, Non-Hispanic",Some College,Child < 5,0,1,1013721.6804
2015Q3,"Black, Non-Hispanic",Some College,Child < 5,1,1,98500.4418
2015Q3,"Black, Non-Hispanic",College +,No Children,0,0,468494.886
2015Q3,"Black, Non-Hispanic",College +,No Children,0,1,2708858.6171
2015Q3,"Black, Non-Hispanic",College +,No Children,1,1,101631.9235
2015Q3,"Black, Non-Hispanic",College +,Older Children,0,0,347140.9381
2015Q3,"Black, Non-Hispanic",College +,Older Children,0,1,2230994.4803
2015Q3,"Black, Non-Hispanic",College +,Older Children,1,1,66472.9942
2015Q3,"Black, Non-Hispanic",College +,Child < 5,0,0,216590.523
2015Q3,"Black, Non-Hispanic",College +,Child < 5,0,1,879390.3372
2015Q3,"Black, Non-Hispanic",College +,Child < 5,1,1,70270.7324
2015Q3,Hispanic,< HS,No Children,0,0,750055.5654
2015Q3,Hispanic,< HS,No Children,0,1,730426.4168
2015Q3,Hispanic,< HS,No Children,1,1,118906.0001
2015Q3,Hispanic,< HS,Older Children,0,0,2445072.4381
2015Q3,Hispanic,< HS,Older Children,0,1,2787638.6362
2015Q3,Hispanic,< HS,Older Children,1,1,234575.9381
2015Q3,Hispanic,< HS,Child < 5,0,0,1280387.8768
2015Q3,Hispanic,< HS,Child < 5,0,1,594193.0112
2015Q3,Hispanic,< HS,Child < 5,1,1,101051.4054
2015Q3,Hispanic,High School Diploma,No Children,0,0,759393.3874
2015Q3,Hispanic,High School Diploma,No Children,0,1,1791584.6828
2015Q3,Hispanic,High School Diploma,No Children,1,1,114775.2122
2015Q3,Hispanic,High School Diploma,Older Children,0,0,1730014.297
2015Q3,Hispanic,High School Diploma,Older Children,0,1,3283246.6017
2015Q3,Hispanic,High School Diploma,Older Children,1,1,303888.089
2015Q3,Hispanic,High School Diploma,Child < 5,0,0,1077783.5129
2015Q3,Hispanic,High School Diploma,Child < 5,0,1,934809.9676
2015Q3,Hispanic,High School Diploma,Child < 5,1,1,129735.5711
2015Q3,Hispanic,Some College,No Children,0,0,611443.2273
2015Q3,Hispanic,Some College,No Children,0,1,1850740.8571
2015Q3,Hispanic,Some College,No Children,1,1,84366.8203
2015Q3,Hispanic,Some College,Older Children,0,0,879399.6202
2015Q3,Hispanic,Some College,Older Children,0,1,2829912.469
2015Q3,Hispanic,Some College,Older Children,1,1,188009.255
2015Q3,Hispanic,Some College,Child < 5,0,0,779086.0768
2015Q3,Hispanic,Some College,Child < 5,0,1,1360041.3716
2015Q3,Hispanic,Some College,Child < 5,1,1,76107.9694
2015Q3,Hispanic,College +,No Children,0,0,353676.6728
2015Q3,Hispanic,College +,No Children,0,1,2197409.4229
2015Q3,Hispanic,College +,No Children,1,1,54366.7416
2015Q3,Hispanic,College +,Older Children,0,0,566826.1349
2015Q3,Hispanic,College +,Older Children,0,1,1995309.4376
2015Q3,Hispanic,College +,Older Children,1,1,101178.0319
2015Q3,Hispanic,College +,Child < 5,0,0,410111.3507
2015Q3,Hispanic,College +,Child < 5,0,1,873568.1494
2015Q3,Hispanic,College +,Child < 5,1,1,34009.7878
2015Q3,"White, Non-Hispanic",< HS,No Children,0,0,1244132.9988
2015Q3,"White, Non-Hispanic",< HS,No Children,0,1,756240.1786
2015Q3,"White, Non-Hispanic",< HS,No Children,1,1,107285.0378
2015Q3,"White, Non-Hispanic",< HS,Older Children,0,0,1020851.6128
2015Q3,"White, Non-Hispanic",< HS,Older Children,0,1,853076.8538
2015Q3,"White, Non-Hispanic",< HS,Older Children,1,1,104272.9315
2015Q3,"White, Non-Hispanic",< HS,Child < 5,0,0,453340.1405
2015Q3,"White, Non-Hispanic",< HS,Child < 5,0,1,272328.3107
2015Q3,"White, Non-Hispanic",< HS,Child < 5,1,1,55547.8078
2015Q3,"White, Non-Hispanic",High School Diploma,No Children,0,0,3379797.3039
2015Q3,"White, Non-Hispanic",High School Diploma,No Children,0,1,6985079.4526
2015Q3,"White, Non-Hispanic",High School Diploma,No Children,1,1,362843.7337
2015Q3,"White, Non-Hispanic",High School Diploma,Older Children,0,0,3461057.1696
2015Q3,"White, Non-Hispanic",High School Diploma,Older Children,0,1,7838567.2063
2015Q3,"White, Non-Hispanic",High School Diploma,Older Children,1,1,417580.2878
2015Q3,"White, Non-Hispanic",High School Diploma,Child < 5,0,0,1495514.7381
2015Q3,"White, Non-Hispanic",High School Diploma,Child < 5,0,1,1923762.8202
2015Q3,"White, Non-Hispanic",High School Diploma,Child < 5,1,1,149797.382
2015Q3,"White, Non-Hispanic",Some College,No Children,0,0,2886426.7281
2015Q3,"White, Non-Hispanic",Some College,No Children,0,1,9437268.9919
2015Q3,"White, Non-Hispanic",Some College,No Children,1,1,435768.2531
2015Q3,"White, Non-Hispanic",Some College,Older Children,0,0,3383728.9879
2015Q3,"White, Non-Hispanic",Some College,Older Children,0,1,11318569.345
2015Q3,"White, Non-Hispanic",Some College,Older Children,1,1,427527.6882
2015Q3,"White, Non-Hispanic",Some College,Child < 5,0,0,2088810.4901
2015Q3,"White, Non-Hispanic",Some College,Child < 5,0,1,3370129.8967
2015Q3,"White, Non-Hispanic",Some College,Child < 5,1,1,121954.5796
2015Q3,"White, Non-Hispanic",College +,No Children,0,0,2322485.6653
2015Q3,"White, Non-Hispanic",College +,No Children,0,1,18087146.004
2015Q3,"White, Non-Hispanic",College +,No Children,1,1,487841.4249
2015Q3,"White, Non-Hispanic",College +,Older Children,0,0,3088009.6651
2015Q3,"White, Non-Hispanic",College +,Older Children,0,1,14894863.898
2015Q3,"White, Non-Hispanic",College +,Older Children,1,1,433853.5199
2015Q3,"White, Non-Hispanic",College +,Child < 5,0,0,2560035.7808
2015Q3,"White, Non-Hispanic",College +,Child < 5,0,1,7208673.8966
2015Q3,"White, Non-Hispanic",College +,Child < 5,1,1,175669.6689
2015Q3,All Other,< HS,No Children,0,0,157481.2798
2015Q3,All Other,< HS,No Children,0,1,97256.8989
2015Q3,All Other,< HS,No Children,1,1,26331.9704
